"OriginalRelativePath","NewRelativePath","Category","Marker","Extension","SizeBytes","Status","Error"
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\gPlant\1_生リード配列\dog-food-rbcL_S10_L001_R2_001.fastq.gz","05_raw_reads_fastq\gPlant\dog-food-rbcL_S10_L001_R2_001.fastq.gz","05_raw_reads_fastq","gPlant",".gz","13255279","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\gPlant\1_生リード配列\experiment.tsv","02_tables\gPlant\experiment.tsv","02_tables","gPlant",".tsv","260","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\gPlant\1_生リード配列\md5sum.tsv","02_tables\gPlant\md5sum.tsv","02_tables","gPlant",".tsv","256","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\gPlant\2_代表配列\dog-food-rbcL.fasta","04_sequences_fasta\gPlant\dog-food-rbcL.fasta","04_sequences_fasta","gPlant",".fasta","9869","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\gPlant\2_代表配列\repset.fasta","04_sequences_fasta\gPlant\repset.fasta","04_sequences_fasta","gPlant",".fasta","11990","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\gPlant\5_中間ファイル\convert.txt","03_reports\gPlant\convert.txt","03_reports","gPlant",".txt","1435","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\gPlant\5_中間ファイル\map.txt","03_reports\gPlant\map.txt","03_reports","gPlant",".txt","52","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\gPlant\5_中間ファイル\Repset\repset.qza","06_qiime2_artifacts\gPlant\Repset\repset.qza","06_qiime2_artifacts","gPlant",".qza","12346","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\gPlant\5_中間ファイル\Repset\repset.qzv","06_qiime2_artifacts\gPlant\Repset\repset.qzv","06_qiime2_artifacts","gPlant",".qzv","204528","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\gPlant\5_中間ファイル\Sequences\sequence.qza","06_qiime2_artifacts\gPlant\Sequences\sequence.qza","06_qiime2_artifacts","gPlant",".qza","4830269","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\gPlant\5_中間ファイル\Sequences\sequence.qzv","06_qiime2_artifacts\gPlant\Sequences\sequence.qzv","06_qiime2_artifacts","gPlant",".qzv","299230","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\gPlant\5_中間ファイル\Table\table.qza","06_qiime2_artifacts\gPlant\Table\table.qza","06_qiime2_artifacts","gPlant",".qza","13667","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\gPlant\5_中間ファイル\Table\table.qzv","06_qiime2_artifacts\gPlant\Table\table.qzv","06_qiime2_artifacts","gPlant",".qzv","391299","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\gPlant\img\blast.png","07_images\gPlant\blast.png","07_images","gPlant",".png","8915","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\gPlant\img\logo.jpg","07_images\gPlant\logo.jpg","07_images","gPlant",".jpg","12127","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\gPlant\img\otu_table.png","07_images\gPlant\otu_table.png","07_images","gPlant",".png","61795","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\gPlant\img\Quality.html","03_reports\gPlant\Quality.html","03_reports","gPlant",".html","11314","moved",""
"DNA配列解析（奥先生）\NGS data 22012622 CO1 rbcL tanuki civet raccoon Tatsumi Takeda 220218\gPlant\img\top10.png","07_images\gPlant\top10.png","07_images","gPlant",".png","61466","moved",""
