Run/Analysis	File Name	Run/Analysis contains files	File Type	MD5 Checksum
Run	r69-241017-11M_S66_L001_R1_001.fastq.gz		fastq	42fa31e03ed9a9582ff3ff3bfa5a2af9
Run	r69-241017-11M_S66_L001_R2_001.fastq.gz		fastq	4ce6ba05a7c881d46e8fcfc4a2ce4c82
Run	r70-241017-12M_S67_L001_R1_001.fastq.gz		fastq	29dd9dda602d13ae239098fff97f4941
Run	r70-241017-12M_S67_L001_R2_001.fastq.gz		fastq	aeaecdd0884ffcf6500c62c6a5d828e8
Run	r71-241017-13M_S68_L001_R1_001.fastq.gz		fastq	986094a771c90935e1a0154ff2531184
Run	r71-241017-13M_S68_L001_R2_001.fastq.gz		fastq	1be0a14c6860f7036cd531bdf697fe61
Run	r72-241017-14M_S69_L001_R1_001.fastq.gz		fastq	7c50071650ed654be907bab08858ab05
Run	r72-241017-14M_S69_L001_R2_001.fastq.gz		fastq	a74bde9b91b3979c07b0ce385b0d7096
Run	r73-241017-15M_S70_L001_R1_001.fastq.gz		fastq	bb0b248a858d0ca107b61d53b072eefb
Run	r73-241017-15M_S70_L001_R2_001.fastq.gz		fastq	40082993286cf7c61b12985049fee573
Run	r74-241017-16M_S71_L001_R1_001.fastq.gz		fastq	d7546b29ed1fc973e7ef7b67fb7cef30
Run	r74-241017-16M_S71_L001_R2_001.fastq.gz		fastq	153f36dc93efcfd874dc4cb46519652c
Run	r75-241017-17M_S72_L001_R1_001.fastq.gz		fastq	3b1f8dbf63225793d0cb2b8772e90460
Run	r75-241017-17M_S72_L001_R2_001.fastq.gz		fastq	037f945d782a0b04de868514fa5810e6
Run	r77-241017-19M_S73_L001_R1_001.fastq.gz		fastq	a27a2b43edfdc3eb00e4a7013144dd5a
Run	r77-241017-19M_S73_L001_R2_001.fastq.gz		fastq	3f5437381f4a7c0e2d3248f3966ebc46
Run	r79-241102M_S74_L001_R1_001.fastq.gz		fastq	985230e9251bdec56beb1badfc3e5190
Run	r79-241102M_S74_L001_R2_001.fastq.gz		fastq	79e39ee9fd95a41a0f7d7de7f8702c7f
Run	r12A-230520S_S75_L001_R1_001.fastq.gz		fastq	80b238fcb86976efc190ecf4e61f6a9c
Run	r12A-230520S_S75_L001_R2_001.fastq.gz		fastq	f6e79e00bcd6bd1aecfa1bc21672f68d
Run	r14A-230610S_S76_L001_R1_001.fastq.gz		fastq	c8fdd829f2de9d486d4e4dc42d36fbd6
Run	r14A-230610S_S76_L001_R2_001.fastq.gz		fastq	82f533ffe5ea634d61a3690b5646a13e
Run	r78A-241017-20M_S77_L001_R1_001.fastq.gz		fastq	337d5154ca9953fdf17df389f3e86a4f
Run	r78A-241017-20M_S77_L001_R2_001.fastq.gz		fastq	9a8a7d93e0a1225164a55ecf4d99e6c8
Run	230505B_S78_L001_R1_001.fastq.gz		fastq	0de9a160019be651fd1e84da1cdb33f1
Run	230505B_S78_L001_R2_001.fastq.gz		fastq	76c191db3e5cc3da35c168371622795f
Run	230223X-1_S79_L001_R1_001.fastq.gz		fastq	5e5041bf2b5f4be4105079b262a3dd00
Run	230223X-1_S79_L001_R2_001.fastq.gz		fastq	4097caed8df94d1b62523e06896d5076
Run	230223X-2_S80_L001_R1_001.fastq.gz		fastq	1e5f770ca37d407b4b8d0d6f2b9df33f
Run	230223X-2_S80_L001_R2_001.fastq.gz		fastq	cb902fd9f55729643fe5a3ea00558480
Run	230223X-3_S81_L001_R1_001.fastq.gz		fastq	560d6954f4a687b51b7d635e2da6f4ee
Run	230223X-3_S81_L001_R2_001.fastq.gz		fastq	7ab135960a21f910135ba8106aa06fa0
Run	r38-231018-3M_S35_L001_R1_001.fastq.gz		fastq	9717fe7768a44fb82c863e85efeb9886
